time,open,high,low,close,volume
12/30/2010,507.65,507.65,507.65,507.65,
12/31/2010,513.6,513.6,513.6,513.6,
1/4/2011,510.23,510.23,510.23,510.23,
1/5/2011,505.53,505.53,505.53,505.53,
1/6/2011,506.07,506.07,506.07,506.07,
1/7/2011,504.18,504.18,504.18,504.18,
1/10/2011,503.54,503.54,503.54,503.54,
1/11/2011,497.61,497.61,497.61,497.61,
1/12/2011,498.84,498.84,498.84,498.84,
1/13/2011,504.82,504.82,504.82,504.82,
1/14/2011,509.86,509.86,509.86,509.86,
1/17/2011,512.95,512.95,512.95,512.95,
1/18/2011,510.81,510.81,510.81,510.81,
1/19/2011,517.26,517.26,517.26,517.26,
1/20/2011,520.06,520.06,520.06,520.06,
1/21/2011,528.36,528.36,528.36,528.36,
1/24/2011,524.52,524.52,524.52,524.52,
1/25/2011,518.82,518.82,518.82,518.82,
1/26/2011,518.16,518.16,518.16,518.16,
1/27/2011,524.03,524.03,524.03,524.03,
1/28/2011,531.47,531.47,531.47,531.47,
2/8/2011,543.5,543.5,543.5,543.5,
2/9/2011,543.49,543.49,543.49,543.49,
2/10/2011,541.44,541.44,541.44,541.44,
2/11/2011,540.13,540.13,540.13,540.13,
2/14/2011,534.54,534.54,534.54,534.54,
2/15/2011,538.69,538.69,538.69,538.69,
2/16/2011,532.52,532.52,532.52,532.52,
2/17/2011,527.94,527.94,527.94,527.94,
2/18/2011,518.86,518.86,518.86,518.86,
2/21/2011,496.18,496.18,496.18,496.18,
2/22/2011,482.91,482.91,482.91,482.91,
2/23/2011,488.87,488.87,488.87,488.87,
2/24/2011,481.95,481.95,481.95,481.95,
2/25/2011,490.71,490.71,490.71,490.71,
2/28/2011,482.67,482.67,482.67,482.67,
3/1/2011,485.84,485.84,485.84,485.84,
3/2/2011,476.2,476.2,476.2,476.2,
3/3/2011,472.52,472.52,472.52,472.52,
3/4/2011,477.72,477.72,477.72,477.72,
3/7/2011,485.32,485.32,485.32,485.32,
3/8/2011,490.43,490.43,490.43,490.43,
3/9/2011,486.67,486.67,486.67,486.67,
3/10/2011,497.91,497.91,497.91,497.91,
3/11/2011,510.74,510.74,510.74,510.74,
3/14/2011,496.25,496.25,496.25,496.25,
3/15/2011,487.39,487.39,487.39,487.39,
3/16/2011,484.44,484.44,484.44,484.44,
3/17/2011,486.48,486.48,486.48,486.48,
3/18/2011,491.61,491.61,491.61,491.61,
3/21/2011,496.43,496.43,496.43,496.43,
3/22/2011,488.25,488.25,488.25,488.25,
3/23/2011,495.22,495.22,495.22,495.22,
3/24/2011,490.6,490.6,490.6,490.6,
3/25/2011,488.07,488.07,488.07,488.07,
3/28/2011,489.82,489.82,489.82,489.82,
3/29/2011,488.84,488.84,488.84,488.84,
3/30/2011,490.23,490.23,490.23,490.23,
3/31/2011,488.94,488.94,488.94,488.94,
4/1/2011,487.57,487.57,487.57,487.57,
4/4/2011,488.15,488.15,488.15,488.15,
4/5/2011,489.35,489.35,489.35,489.35,
4/6/2011,498.53,498.53,498.53,498.53,
4/7/2011,497.12,497.12,497.12,497.12,
4/8/2011,498.28,498.28,498.28,498.28,
4/13/2011,494.25,494.25,494.25,494.25,
4/14/2011,491.02,491.02,491.02,491.02,
4/15/2011,488.92,488.92,488.92,488.92,
4/18/2011,483.8,483.8,483.8,483.8,
4/19/2011,482.05,482.05,482.05,482.05,
4/20/2011,485.55,485.55,485.55,485.55,
4/21/2011,483.73,483.73,483.73,483.73,
4/22/2011,476.75,476.75,476.75,476.75,
4/25/2011,484.74,484.74,484.74,484.74,
4/26/2011,478,478,478,478,
4/27/2011,483.61,483.61,483.61,483.61,
4/28/2011,483.27,483.27,483.27,483.27,
4/29/2011,487.92,487.92,487.92,487.92,
5/4/2011,492.42,492.42,492.42,492.42,
5/5/2011,489.36,489.36,489.36,489.36,
5/6/2011,487.16,487.16,487.16,487.16,
5/9/2011,489.25,489.25,489.25,489.25,
5/10/2011,490.36,490.36,490.36,490.36,
5/11/2011,492,492,492,492,
5/12/2011,490.61,490.61,490.61,490.61,
5/13/2011,488.75,488.75,488.75,488.75,
